stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0.37,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0.1,1.14,0,0.1,0,0.42,0.21,0,0.52,0.1,0.1,0,0.42,0.1,0,0,0.31
22Month,0.14,0.14,0,0.14,0,0.27,0.68,0.14,0,1.5,0.14,0.14,0.14,0.27,0.14,0.14,0.14,0
