stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.56,0,0,0,0,0,0
21Day,0,1.48,0,0,0,0,0,0,0.74,0,0,0,3.33,0,0,0.37,0.37,0,0.37,0,0,0,0
3Month,0,0.73,0.1,0.21,0.21,0.42,0.83,0.31,0,0.1,0.21,0.31,13.73,1.87,0.62,0.21,0.1,0.1,0,0.1,0.62,0.31,0.42
22Month,0,0.55,0,0,0.27,0.55,0.68,0,0,0.27,0,0,6.97,0.27,0,0,0,0,0,0,0.14,0,0.14
