stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0
3Month,3.02,0,1.46,0,0.1,0,0,0.83,0.21,0,0.83,0,0.31,0.1,0,0.1,0,0.1,0.62,0.1,0.83
22Month,1.91,0.14,0.96,0,0,0.14,0.27,3.14,0.14,0.14,0.14,0.27,0,0,0,0,0,0.14,0,0,0
