stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0
72hpf,0.28,0,0.28,0.56,0.28,0,0,0,0.56,0.56,3.95,1.41,1.41,0,0
21Day,0,1.11,0,0.37,0,0,0,0.37,0,0.37,1.85,0,0.37,0,0.37
3Month,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0.14,0
