stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,1.41,0.28,0,0,0,0,0,0,0,0,29.59,0,0.28,0.85,0.56,0,0,0,0,0,0
21Day,0,0,4.44,0.37,0,0,0,0,0,0.37,0,0,2.96,0,0.37,0.74,0,0,0.74,0.37,0,0,0
3Month,0.1,0.1,8.53,0,0,0.31,0.21,0.73,0.42,0,0.52,0.21,17.58,0.31,0.21,0.21,0,0.1,0.21,4.47,0.1,2.39,0.1
22Month,0,0,0.55,0,0.14,0,0,3.28,0,0,0.27,0,1.78,0,0.14,0,0,0,0.14,0.82,0,0,0
