stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0,0,4.79,1.97,0,0.28,0,1.41,0,0,0,0.28,0,0
21Day,0.74,0,1.48,0,0.37,0,0,0,0,0,1.11,0.37,2.59,0,0,0.74,0,2.59,0.74,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0,0.21,2.08,0.21,0.1,0.21,18.2,0.21,1.66,0.21,0.21,0.1,0.1,0.1,0.1,0.21,0.1,0.31,0,0.1,0.21,0,0.1,0.52,0.83,0.1,0,0.1,0.21
22Month,0,1.23,0.41,0,0,0,5.33,0,0.41,0,0.27,0.14,0.14,0,0.14,0.14,0,0,0,0,0.41,0.14,0,0,0.14,0,0,0,0
