stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.56,0.56,0,0,0,0,0,0,0,0,0,0,29.31,0.85,0,0.56,0,0,0,9.02,0
21Day,0.74,0,0,0.37,0,0,0,0,0.37,0,0.37,0.37,0,0.37,8.88,0,0,0.37,0,0,0.37,1.11,0
3Month,0,0,0.1,0,0.1,0.21,1.25,0,0,0.1,0,0,0,0,0.31,0,0,0,0.1,1.14,0,0.1,0
22Month,0,0,0,0,0,0,20.63,0.14,0,0.27,0,0.41,0.27,0,0.41,0,0.82,0,0,0.96,0,0.14,0.14
