stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,1,4,0,0,0,0,0,0,0
72hpf,12.12,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.56,0,0,0,0.85,0,0,0.56,0,0,0,0,0
21Day,6.29,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,5.3,0.1,0,0.1,0.1,0.31,0,0,1.77,0,0,0.73,0,0.1,0.1,0.1,0,0,0.31,0,0,0,0,0.73,0.1,0.1,0.1,0.21
22Month,0,0.14,1.37,0,0,0,0.27,2.6,0.14,0,2.32,0.27,0.41,1.37,0.14,0.55,3.01,0.82,0.27,0.41,0,0.14,0.14,0.14,0,0.82,0,0,0,0
