stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0,0
3Month,0,0.1,18.41,0,0.1,0,0.52,0,0.1,0.62,0.31,0.1,0,0.21,0.1,0,0,0,0,0.42,0.1,0,0.21,0.52
22Month,0.14,0.14,18.86,0.41,0.68,0.14,2.87,0.14,0.27,0.27,0,1.23,0.41,0.14,0,0,0.14,0.27,0.27,0,0,0.14,0,0
