stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0.37,0,0,0,1.11,0,0,0,0.37,0,0,0,0,4.81
3Month,0.1,0.42,0.1,0,0.1,0.42,0.31,0.21,0.21,0.31,0.62,0,0,0.21,0.1,0.31,18.93
22Month,0,0,0,0,0,0.68,0.14,0,0.14,0,0.14,0,0.27,0,0,0,3.69
