stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,14,0,0,0,1,0,4,4,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,1.41,0,0,0,0,0.85,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,1.11,0.74,0,0.74,0,0,0,0,0.74,0.37,0,0,0,0.37,0,1.48,4.44,0,0,0
3Month,0,0.1,2.5,0,0.42,0.21,0,2.08,0.62,0.83,1.25,0.31,0.21,0.52,0.1,0,0.42,0.21,0.1,0.1,1.35,0.1,0,0,0.42,25.07,0.21,0.42,18.52,0.1
22Month,0,0.41,2.05,0,0.14,0.27,0,3.83,0.14,0.14,0,0,0.41,0.41,0,0.14,0,0,0.14,0,1.37,0,1.78,0,0,8.06,2.32,0,0.14,0.14
