stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,T_cell
72hpf,0.28,0,0,0,1.69,0,0
21Day,0,1.11,0,0.37,4.81,0,0
3Month,0,0.21,0,0,0,0,0.1
22Month,0,0,1.09,0,0,0.27,0
