stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0,0,0.73,0,0,0,0,0.31,0,1.35,0.1,0,0.42,3.64,0.1,0,1.04,0.21,0,0.1,7.28,0,0,0.1,0.1,0,0,0.1,1.98,0.1,0,0.21
22Month,0,1.37,0.14,2.05,0,0.27,0.14,0.55,5.88,3.14,19.81,0.96,0.55,1.78,0.96,0.82,1.37,1.37,0,0.68,0.96,0.14,0.41,0.14,0.14,0.41,58.08,0.14,0,0,0.55,0.55,0.96
