stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Muscle_cell,T_cell
21Day,0,0.37,0,0,0,0,0,0,0
3Month,0,0.21,0.1,1.35,0.31,1.46,0.73,0.1,0.94
22Month,0.14,0,0,1.37,0,2.32,0.27,0.14,0
