stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0.28,0,0,0.28,0,0
21Day,0.74,0,0,0.74,0.37,0.37,0,0,0,0,0,0,0.74,0,0,32.93,0.37,0,0.74,0,0,0.37,0.37,0,0,0,0
3Month,0,0,0,2.39,0,0,0,0.42,1.35,0,1.35,0.62,0.21,0.52,0.62,50.03,0.52,0.1,0,0,0.1,0,0.31,1.46,0,0.31,1.14
22Month,0,0.27,0.14,0.82,0,0,0.14,0.14,0.68,0.14,0.82,0,0,0.14,0.14,34.16,0.82,0.14,0,0,0,0.27,0.14,4.37,0,0,0.27
