stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.85,1.97,0.85,4.79,0.28,0,0,0,0,0.28,0,1.69,6.76,0.28,17.76,0.56,0.28,37.49,16.63,0.28,0,9.58,0.28,3.1,0.28,0.28,0.28,0
21Day,4.07,0.37,9.25,0,8.14,1.48,0.37,0.37,0.74,0.74,2.22,1.48,0.37,4.44,3.33,21.83,0.37,3.33,12.58,9.25,0,0.37,1.11,2.59,2.59,1.11,1.85,0.37,1.48
