stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,1.41,0,0,0,0,0,0,0,0,0,3.38,0,0,0,1.13,0,0,1.97,0,0,0,0,0
21Day,0,1.11,0,0.74,0,0,0,0.37,0,0.37,0,19.24,0,0,0,0.74,1.11,0.37,1.85,0.37,0,0.74,0,0
3Month,0.1,0.42,0.42,0,0.1,1.77,0,0.21,0.1,0.21,0.1,1.77,0.1,0,0.1,0,0,0,0.1,0,0.1,0,0.21,0.1
22Month,0,0.82,0.14,0,0,3.28,0.14,1.37,0,0,0.41,0.55,0,0.14,0,0,0,0.14,0,0,0,0,0,0
