stage,Epithelial_cell,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,1.13,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0
3Month,0.1,0.1,0,0.1,0,0.83,1.46,0,0,0.1
22Month,0,0,0.68,0,0.14,0,0,0,0,0
