stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,7,0,0,0,0,0,0,2,0,0,0,0,1,0,6,4,0,0,0,0,1,31,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,2.54,1.41,0,2.54,1.41,0.56,0,0,0,0,0,0.28,0,0.85,0,2.54,8.46,3.1,11.84,0,0.56,0.28,0.28,130.78,19.17,0.28,0.56,0,23.39,0,0,4.51,0,0.85,0,0,0
21Day,2.22,1.11,0.74,10.73,0.74,0.74,0.74,0,0.37,0,0,0,0.37,3.33,1.48,1.11,4.44,6.66,17.76,0,0,1.11,0,21.83,4.81,0,0.74,0,8.14,2.22,0,1.11,0.37,0,0.37,0,2.96
3Month,0,0.1,0.21,1.87,0,0,0,0.31,1.04,0,0,0.21,1.14,0,0.62,0,0.31,1.04,1.66,0.73,0,0.94,0.1,0.31,0,0,0.42,0,0.21,0,0.83,0,0,0,0.73,0.94,1.87
22Month,0.14,5.6,0.55,13.8,0,0,0.14,4.1,9.84,2.87,0,5.88,2.19,2.73,10.93,0.55,0.96,10.66,18.45,1.5,0,4.92,0.14,1.64,0.27,1.64,0.96,0.14,0.55,0.55,1.09,1.37,0,0.14,1.91,0,6.29
