stage,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,3.1,0,0,0,0,0,0,0
21Day,1.11,0.37,0,0,0,1.48,0,0,0,0,0,0,0
3Month,0.21,0,0,0.42,0.21,0,0.1,0.1,0.1,0.1,0.62,0.21,0.1
22Month,0,0,0.14,0.68,0,0,0,0,0,0,0,0,0
