stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0
21Day,0,2.59,1.11,0.37,0,0,0,0.37,0,0.37,1.48,1.85,0,0,0,2.59
3Month,0.21,0.42,0,0,0.1,0,0.42,0.1,0.21,0.42,0.52,0.1,0,0.21,0.1,5.3
22Month,0,0,0,0,0.14,0.14,0,0,0,0,0.41,0.14,0,0,0,1.37
