stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,1,1,3,0,2,0,0,0,0,0,1,2,4,0,0,2,49,0,1,0,0,0,0
72hpf,0.28,0.56,0.56,0.28,0,0,0,0,0.28,0,0.56,0,0.28,0.85,0,0,3.95,0,0.85,0,0,0,0
21Day,0.74,0.37,0.37,0,0,0.74,0,0,0.37,0.74,0,0,4.07,0,0.37,0.37,5.92,0,1.48,0,0,0.74,0
3Month,0,0,0.52,0,0,2.7,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0.1,0,0,0.1
22Month,0,0,0.14,0,0,1.23,0,0.14,0,0,0,0,0.14,0,0,0,0,0.14,0,0,0.14,0,0
