stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0.56,0.56,0.28,0,0,0,0,0,0,0,0.28,0,0.56,0.28,0,0.56,0,0,0,0,1.69,1.13,0,1.13,0,0,0,0,0,0,0
21Day,0,0,4.07,0,0.74,0,0,0,0.37,0,0,0,14.43,0,0,16.28,9.25,1.11,0,0,0.37,0,1.11,1.48,0,1.11,0.74,0,0,0,0,0,0.74
3Month,0.21,0.42,23.09,0.21,0,0.1,0,1.46,0.73,0,1.66,4.37,2.5,0.94,0.31,0.52,30.27,0.94,0.42,0.1,0.21,0.1,0.42,0.1,0.21,0.1,0,2.29,0.1,0,0.31,0.62,1.25
22Month,0.82,0.55,11.75,0.27,0,0.14,0.14,2.05,3.14,1.91,7.79,2.05,5.74,0.41,0,0.27,32.25,1.5,0,0.27,0.27,0,0.14,0,0.27,0,0.14,1.64,0,0.14,0,0,1.09
