stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,3.38,0.56,1.41,0.28,1.97,0,0,0,0,0,0,0,0.28,3.66,0.28,0.85,0,0.28,219.28,9.02,0,0.28,3.1,0,0,0.85,0.28,0,0
21Day,0.37,0,3.7,0,2.59,0,0,0,0.37,0,0.37,0,0,1.48,0.74,4.07,0,0.74,79.92,5.55,0.37,1.48,0.74,1.48,0,0.37,0,0,0.74
3Month,0,0.1,1.25,0,0,0.1,0.42,0,0.83,0.21,0,0,0.31,0.31,0.21,0,0.21,0,0.62,0,0.1,0.31,0,0.21,0.31,0,0,0.1,0
22Month,0,0.27,0.27,0,0,0,0.55,0.41,2.87,0,0,0.27,0,0,0.41,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0.14
