stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,0.85,0.85,1.13,0,0,0.28,0,1.69,2.25,0.56,1.97,0,0,0,187.43,3.1,0.28,0.56,8.17,0,0,1.41,0,0.56,0,0,0
21Day,0.37,0,0,0.37,0.37,1.85,0,0,0,0.37,0.37,0.37,0.37,2.22,0,0.37,0,36.26,1.11,0,3.33,1.48,0.74,0.37,0.37,0.37,0,0,0,0
3Month,0,0,0.1,0.62,0,0,0.21,0.31,0,0,0,0,0.1,0.31,0.1,0.1,0.1,0.31,0,0.94,0.42,0,0,3.54,0,0,0,0.52,0.52,0.1
22Month,0,0,0,0.27,0,0,0.27,0,0,0,0,0,0.14,0,0,0,0,0,0,0.41,0.14,0.14,0.14,1.78,0,0,0,0.27,0.14,0
