stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,14,48,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0.56,1.41,3.1,0,0,0.28,0,8.74,7.05,0,0,9.58,0,0,8.46,0,0,0,0,0
21Day,1.11,0.37,0,3.7,0,1.48,0,0.74,0,0,0,0,0,0,1.11,0,0.37,0.74,2.59,4.81,0,0,0.74,0,7.03,7.03,0,3.33,3.7,0,0,8.88,0.37,2.59,0,0,1.48
3Month,0.21,0.62,0.31,5.62,0.31,0,0,0.1,0.1,0.31,0.83,0.31,1.87,0.52,0.42,1.46,0.62,1.77,4.47,3.22,0.62,0,0.62,4.99,1.66,0.62,0.21,2.5,0.83,0.31,3.74,0.94,0,0,1.25,0.42,2.6
22Month,0.14,1.09,0,3.01,0.14,0,0.27,0,0,0.14,0.82,2.19,7.24,0.14,0.27,1.37,0.14,0.41,5.6,1.5,0,0.41,0,0.14,1.64,0.55,0.82,2.32,0.14,0,0.41,1.5,1.09,0,0,0,1.09
