stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.52,0.31,6.55,0,0.1,0.1,0.62,1.46,1.46,0.94,1.35,0.62,2.6,0.83,2.18,0.62,1.04,0.1,0,0.21,0.1,0.1,0.21,0.31,0,0.1,2.81,0.31
22Month,0.14,0,0.68,0,0,0,0,3.55,0.82,0.14,0.27,0,0,1.23,0.41,0,0.41,0,0,0,0,0,0,0.14,0.27,0,0,0
