stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,46,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,47.35,0,1.41,7.61,0.56,0,0,0,0,0,0,0,0,0.28,0,0.85,1.13,0,0.85,0,0,0,10.43,7.61,0,0,0.56,0,0,0.56,0.28,0,0,0,0
21Day,0.74,12.58,0,1.11,4.44,0,0,0,0,0,0,0,0,0,0.37,0,0,0.74,0,0.37,0.37,0,0,4.81,5.55,0,0,0,0,0.74,0.37,0,0.37,0,0,0.37
3Month,0,27.98,0.1,4.26,2.08,0,0.31,0.1,0.1,0.52,0,0,3.22,0.83,0,0.94,2.81,2.08,0.73,0.42,0,0.1,4.99,1.25,1.14,0.21,0,0.1,0.52,14.87,0.62,0,0.21,0.73,2.6,2.08
22Month,0,35.39,0,1.64,0.96,0,0,0.14,0.14,0.55,0.41,0,9.02,0.55,0.27,0.82,0.55,0.55,0.82,0.55,0.41,0.14,0.14,0.27,0.14,0.55,3.42,0.41,0,9.7,0.96,0,0,0,0,0.82
