stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,1,1,0,0,0,0,24,3,0,3,0,0,2,0,0,0,0,0
72hpf,0.56,0,0.28,0.56,0,0,0,12.97,0,0.28,13.81,0,5.64,1.69,0.28,1.41,0.56,0,0.28
21Day,0,0,0,0.37,0,0,0.74,2.59,0.37,0.37,10.73,0.74,1.85,0.37,0.37,0.74,0.37,0.74,0
3Month,0,0,0.21,0,0,0.21,0.1,0.31,0,0,0,0,0,0,0,0,0,0.1,0
22Month,0,0,0,0,0.14,0.41,0,0.14,0,0,0,0,0,0,0,0,0.14,0,0
