stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,1,18,1,0,0,0,0,0,0,0,0,0,0,2,0,0,31,0,0,0,2,17,0,0,27,0,0,0,0,0,0,0,0,0
72hpf,2.25,0,1.69,0,0.28,0,0,0,0,0,0,0,0,0,0.56,2.82,0.28,10.71,0,0,0,2.82,2.54,0,0,41.15,0,0,0.56,0.85,0,0,0,0,0
21Day,0.37,0,1.11,0,1.85,0,0.74,0,0,0,0,0,0.37,0.37,0,0.37,0,28.86,0,0,5.18,1.11,0.37,0,0,39.22,0.74,0,1.48,2.59,0.37,1.85,0,0,0
3Month,0.31,0.21,0.31,0,0,0.1,0.1,0,0.21,0,1.35,0.1,0,0.42,0,0.1,0.52,13,4.37,0.1,0.1,0,0,0,0.1,0.1,0,0.83,0,0,0,0,0.21,1.56,0.31
22Month,0,0,0.14,0,0,0.41,0,0.14,0.68,0.27,4.1,0.27,0,0.68,0,0,0.14,8.88,0.68,0.27,0.14,0,0,0.14,0,0.14,0,0.41,0,0.82,0,0,0,0,0
