stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0.37,0,0.74,0.74,9.62,2.22,0,0,0,0,0.37,0,0,0,0
3Month,0,0,0.1,2.5,0,0.1,0.1,0,0.52,0,0.52,0.1,0.31,0.21,0.1,0.1,0.31,0.1,0,0.1,0.1,0,0.1
22Month,0.14,0.14,0.14,1.23,0.14,0.14,0.14,0.14,3.42,0.14,1.23,0,0.14,0.27,0.41,0,0,0,0,0,0,0.27,0.14
