stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Osteoblast,Primordial_germ_cell
72hpf,0,0.56,0,0,0,0,0,3.66,0.28,0
21Day,0,0,0,0,0,0.37,0,0.37,0,0
3Month,0.1,0,0,0.21,0,0,0.1,0.31,0,0
22Month,0,0,0.14,1.78,0.27,0,0.14,0,0,0.14
