stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,0,0,0,0,0,0,0,0,2,8,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0
72hpf,0,1.13,0,0,0,0,0,0,0,0,0,0.85,10.15,0.28,1.41,0,0,0,0,1.13,0.28,0,0.56,0,0,0,0,0
21Day,0,19.24,0.37,0.37,0.37,0,0.37,0,0,1.85,0,2.59,10.73,0.37,4.44,0,0,0.37,0,1.11,0.37,0,1.11,0,0,0,0,0
3Month,0.1,7.59,0,0,0.21,0.21,0,1.04,0,0.21,0.31,0.52,4.89,0.73,0.83,0.21,0,0.42,1.04,0.1,0,0.1,0,0.21,1.56,0.52,0.62,0.62
22Month,0.41,0.96,0,0,0,0.55,0.14,1.78,0.27,0,0.27,0.27,0.27,0,0.55,0,0.14,0,0,0,0,0,0,0,0.41,0,0,0.27
