stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,1,0,0,0,1,0,3,0,1,0,0,0,0,1,1,569,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0.28,0,0,0,18.6,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,1.11,0,0.37,0,0,0,8.14,0,0,0.37,0,2.59,0.37,0,0.74,44.4,0.37,0,0,0,0,1.11,0.74,0,0.37,0,0.37,0.37,0,0,0,0,0,0,0
3Month,0.31,1.04,0.52,6.66,0.31,0,0.94,0.1,1.56,213.23,0,0,9.26,6.14,2.08,4.06,0.83,2.29,335.35,3.74,0.62,0.31,1.04,2.29,0.83,0.1,0.42,0.62,0,0.1,3.54,2.91,0.21,0.21,0.1,1.46,1.77,2.91
22Month,0.14,2.19,0.41,2.87,0.14,0,1.37,0.27,1.09,258.68,0.68,0,18.58,2.6,6.15,2.32,0,0.27,361.44,4.24,0,2.05,0.27,0.14,0.14,0,0.68,1.5,0.55,0.27,1.37,1.64,0.14,0.68,0,0.41,0.14,1.64
