stage,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,3,0,0,1,0
72hpf,0,1.97,0.28,0,0.56,0
21Day,1.48,0.37,0,0.37,0.37,0
3Month,0.1,0,0,0,0,0.1
