stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,12,43,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,9.3,0.28,0.56,0,0.85,0,0,0,0,0,0,0,2.54,31.85,2.25,0.28,0,0,0.28,0,7.05,2.25,0,0,0,0.28,0,0,0.28,0.85,0,0,0,0,0
21Day,1.48,0.37,0,58.09,0,4.07,0,29.23,0,0.37,0,0.74,5.92,4.81,0,3.33,15.17,14.43,1.11,0,0,18.13,0,5.92,1.48,0,0,0,1.11,3.7,0,0.37,0.37,0.37,1.48,0,0,2.22
3Month,0,0.42,0.42,96.74,0.1,0,0.83,3.64,1.14,1.77,0.1,5.1,19.56,1.14,2.5,4.06,46.81,29.12,2.7,2.81,0.1,100.27,0.94,0.73,0,0.1,0.21,0,0.1,2.18,0.1,6.14,0.21,0.1,0,1.25,2.08,2.5
22Month,0,0.27,0.68,21.32,0,0,0.55,2.73,0.55,1.37,3.83,8.88,26.78,0.41,1.37,0.41,5.47,13.39,2.46,0.14,0.82,64.77,0,0.27,0,0.27,0.27,0.14,0.14,0,0,4.24,0,0.14,0,0,0,1.23
