stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,T_cell
72hpf,0,0,0,0,0,0,0,0.56,0.28,0,0
21Day,0,0.37,0,0,0,0,0,1.11,0,0.37,0
3Month,0,0.1,0,0,0,0,0,0.1,0,0,0.1
22Month,0.14,0,0.14,0.82,0.14,0.14,0.14,0,0,0,0
