stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,3,3,0,72,0,0,0,1,1,0,15,0,1,54,0,0,0,0,0,0
72hpf,0,0,0,12.12,0,0,0,0,31.57,0,7.33,0.28,3.66,1.41,0,1.41,0,0,0,0
21Day,0.74,0,0,17.76,1.48,0.37,0,0,19.61,0.37,9.62,0.37,0.74,1.85,0.37,1.48,0.37,0,0.74,0
3Month,0,0,0,0.1,0,0,0.21,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0,0.1
22Month,0,0,0.14,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
