stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0.56,1.97,0,0.28,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0,0,0,1.48,0,0,0,0,0,0,8.14,0.37,0,0,0,0,0,0.37,0,0,0,0,0.37
3Month,0,0,0.21,0.94,0.1,0.21,0.42,0.21,0.31,0,0,0,0,0.1,0,0,0.21,0,0.1,3.22,0.1,9.47,0.1
