stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,2.25,1.97,0,0,0.28,0,0,0.28,0.28,0,0,0
21Day,0.37,0,0.37,0.74,0,0.37,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0.74,0,0,0,2.59
3Month,0,0.1,2.29,0,0.31,0,0.73,0.31,0,2.91,0.62,1.56,0.83,0.31,0.31,1.04,0.52,0.1,0,0.1,0,0.1,0,0,0,0.62,49.51,0,0,0.31,6.76,11.75
22Month,0,0.41,0.41,0,0.14,0,0.27,0.96,0.27,8.61,0.41,0.14,1.37,0,0,0.27,0.55,0,0.27,0.14,0,0,0.14,0.27,0.14,0,3.01,0.14,0,0,0,1.91
