stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0.56,0.56,0,1.41,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,4.44,0,0,1.11,0.74,0,0,0,0,0,0,0,0
3Month,0,0.31,0.1,6.55,0.21,0.31,0,0.94,0.21,0,0.42,0.62,0.31,0.83,0.62,0.1,0.1,0.42,0.1,0.73,0,0.21,0.62,0.1,11.86,0.21,0.21
22Month,0,0.14,0,0.27,0,0,0.14,0.82,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,1.78,0,0
