stage,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0
21Day,0,1.11,0,0,0,0,0,0.37,0,0.37,0,0,0,1.11,0.74,0,0.37,0,0.37,1.48,0,0,0.37
3Month,0.73,0,0.1,0.31,0.31,0.94,0.21,0.1,0.94,0.31,0.1,0.42,0.1,36.72,0.1,0.1,0.21,3.95,0,0,0.21,3.12,0.42
22Month,0.14,0,0,0,0.27,1.23,0.14,0,0,0,0,0,0,1.37,0,0,0,0.14,0,0,0.14,0,0
