stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0.37,0,0.37,0,0,0,0
3Month,0.21,0.73,0.42,0.1,0,1.14,0,0.1,0.1,0.1,1.66
22Month,0,0,0.41,0,0,0,0,0,0,0,0
