stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,2,0,1,0,0,0,0,0,0,0,0,2,3,2,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0.85,0.56,0,0,0,0,0,0,0,0.28,1.69,0,1.41,0,0,3.1,3.66,0,0,1.13,0.56,0,0.85,0,0,0,0,0
21Day,2.22,1.11,6.29,0.37,1.11,1.48,0,0,0,0,1.85,0,0,2.22,1.85,3.7,0.37,0,2.22,0.37,0,0.74,2.96,0.37,0,1.11,0.37,0.37,0,0,0.37
3Month,0,0.31,1.77,0.1,0,0,0.42,0.52,1.14,0.62,0,1.04,0.21,0.62,0.1,0.52,0.1,0.21,0,0,0.1,0,0,0,1.56,0,0,0,0.21,0.73,0.52
22Month,0,0.14,0.68,0,0,0,0,0.41,1.5,0.14,0.14,0,0,0,0.27,0.27,0.14,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14
