stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,1.13,0,6.48,1.97,8.74,0,0.28,0.28,0,0.28,0,3.66,12.68,1.97,24.24,0.56,0.56,0,66.23,32.13,0.28,0.28,16.63,0,5.36,0.28,0.28,0.28,0
21Day,6.29,1.48,0.37,21.83,0.74,13.32,4.44,1.11,5.18,0.37,7.03,1.85,1.48,9.62,2.59,29.23,0,2.22,0.37,21.83,11.47,1.11,0.74,7.77,4.81,1.11,2.22,3.33,0.74,6.66
