stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,1.13,0.28,0,0,0,0,0,0.28,1.41,0.28,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,7.03,0.37,0.37,0,0,0,0,0,0,0,2.22,0,0.74,0.74,0,0.74,0,0,0,0,0.37,0.37,0.37,0,0,0.37,0.37,0,0,0,0,5.18
3Month,0.21,0.31,0.1,18.72,0.42,0,0.1,0,0.21,0.73,0,1.35,1.25,0.21,0.83,1.14,2.29,1.04,0.83,0.21,0,0.62,0.21,0.1,0,0.21,0.31,0,0.21,0.62,0.1,0.1,0.21,0.42,25.48
22Month,0.14,0.14,0.14,3.83,0.27,0,0,0.14,0.82,0.55,0.55,1.64,0.14,0.41,0.14,0.27,0.55,0.82,0.14,0,0.14,0.68,0.14,0.14,0,0.82,0.14,0,0.27,0.14,0,0.27,0,0,9.7
