stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0.28,0.56,0.28,0,0,0,0,1.41,6.48,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,1.11,0,0,0,0,0,0,0,0,0,0,10.73,0,0,0,0,0,0,0.74,0,0,0.37,0,0.37,0,0,0,0
3Month,0.21,0.21,5.72,0,0.42,0.62,0.31,0,3.43,0.83,0.21,2.91,0.31,1.14,61.37,0.62,0.1,0.1,0.73,0.21,0.1,0,0.42,0.1,0.62,29.96,0,0,0.31,30.06,0.83
22Month,0,0.14,4.37,0,0.27,0.27,1.64,1.09,6.83,0.68,0.14,4.51,0.27,0.96,30.61,0.41,0.14,0.14,0,0,0.14,0,0.14,0.14,0,3.69,0,0.27,0,0.14,0.41
