stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0.28,0,15.78,0.56,0,0.28,0.28,0,0
21Day,0,0,0.37,0,0,0.37,0.37,0.37,2.96,0,0,0,0,0,0.37
3Month,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0
22Month,0,0.27,0,0,0.82,0.14,0.27,0.55,0,0,0,0,0,0.27,0
