stage,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,1,0,1,2,0,11,0
72hpf,0.28,0,0.28,0,0.85,4.51,7.61,1.13
21Day,0,0,0,0,0.37,1.48,0.37,0
