stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.28,2.54,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.37,0,0,0,0,0.37,0.74,0,0,0,0,0.74,0,0,0,0,0
3Month,0.1,0.21,0,2.5,0,0.1,1.14,0.31,0,4.06,0.73,0.1,1.25,0.21,0.83,1.25,1.46,0.1,0,0.42,0.1,0,6.03,2.18,0.52,0.21,1.56,3.54,0,2.08,0,0.62,0.31
22Month,0.27,1.78,0.14,6.56,0.14,0.14,0.68,2.32,0.68,13.53,0.68,0.41,1.23,0.14,0.55,2.46,9.43,0.14,0.82,0.55,0,0.55,6.56,3.69,0.55,0.27,1.23,9.16,0.55,1.64,0.14,0,0.41
