stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,1,1,6,0,0,0
72hpf,0,0,0,0,0,0.28,0.28,8.46,1.13,0.28,0,0
21Day,0,0.37,0,0,0.37,0.37,0.37,2.96,0.74,0,0,0
3Month,0.31,0.21,0,0.62,0,0.31,0.21,0.1,0,0,0.83,0.21
22Month,0,0.14,0.14,0.96,0.41,0.14,0.14,0,0,0,0,0
