stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.97,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.1,0.62,0.1,0,0.1,1.04,0,0.52,0.1,0.21,0,0,1.66,0.83,0
22Month,0.14,0,0,0,0,0,0.82,0.14,0,0,0.55,0.14,0,0,0,0.14
