stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,2,0,0,0,1,0,0,0,1,0,0,7,0,1,114,2,0,0,0,0
72hpf,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0.28,0,2.25,0.28,0.28,4.79,0.85,0,0,0.28,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,0,1.48,0,0,1.48,0.37,0,0,0,0.37
3Month,0,0,0.1,0,0,0,0,0.31,0.1,0.31,0,0,0,0,0,0,0.21,0,0,0,0.1,0.52
22Month,0,0.14,0.14,0,0.14,0.27,0,0.82,0,0.68,0,0.14,0.14,0.14,0,0,0,0,0.27,0.55,0.14,0
