stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,1.13,0,0,34.67,1.41,0,0,0.56,0,0.28,0,0
21Day,0,1.11,0.37,0,0,0,0,0.37,0,0,0,0.37,1.48,21.46,0.74,0.74,0.37,0.37,0.74,0.74,0.37,0
3Month,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0
22Month,0,0.14,0,0.14,0.27,1.37,0,0,0.41,0.14,0,0,0.14,0.14,0,0.41,0,0,0,0,0,0.14
