stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,1.69,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,1.85,1.11,0,0,0,0,0.74,0.37,0,0,0
3Month,0,0.21,1.25,0.1,0.1,0.42,0.21,0.94,0.1,0.1,0.42,0.21,0.31,0.21,0,0.1,0,0.21,0.83,0,0.42,0.1,0,3.12,0,0,0,18.93,0.21
22Month,0,0,0.41,0,0,0,0.14,1.5,0.14,0,0.14,0,0,0,0.41,0,0.14,0,0,0,0,0,0,0.96,0,0,0,0,0.14
