stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0.37,0,0,0.37,0,0,0,0
3Month,0.1,0.1,0.1,1.25,0,0.21,0.1,0.42,0.73,0,2.18,0.42,0.52,0,0.21,0.42,0.52,0.1,0,0.21,32.97,0.1,0.1,0,0.21,13.42,0.21,3.02,0.31
22Month,0,0.68,0.14,0.55,0,0,0,0.14,0.68,0.14,6.01,0.41,1.5,0.14,0.14,0.14,0.82,0,0.27,0.41,1.5,0,0,0.27,0,0.82,0.14,0,0.68
