stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,2.54,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0
21Day,0,0,0,3.33,4.81,0,0,0,0.74,0,0,0,1.48,0,0.37,9.62,1.48,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0.37
3Month,0.21,0.62,0.1,18.31,4.89,0,0.1,0.42,3.64,0,1.35,1.25,0,1.56,1.35,3.02,5.51,1.98,1.66,0,0.1,0.62,14.46,0.21,0.1,0,3.12,0.31,0.1,2.6,1.04
22Month,0,0,0.55,8.2,1.09,0.14,0,0,11.89,5.47,18.72,0.68,0.41,1.23,0.55,3.28,1.64,1.09,0.14,0.41,0,0.14,4.37,0,0.68,0.27,2.32,0.27,0,0,0.14
