stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,8,0,8,0,0,0,0,0,0,45,0,0,0,0,0,0,1,2,0,0,0,0,3,157,2,0,0,1,0,0,0,0,0,0,1,0,0,0
72hpf,5.07,4.79,0,5.07,34.39,3.1,0,0,0.28,0,0,0,0,0.28,0,1.69,10.99,0.28,3.95,0,0.56,0.28,0,309.47,37.2,4.23,1.97,0,4.79,0,0,0.28,11.56,0,0.85,0.56,0,0,0
21Day,21.83,0.74,0,10.36,29.23,5.18,0.74,0.37,0.74,0,0,0,1.85,0.37,1.11,0,7.4,3.7,2.59,0,0.37,2.22,0,123.21,11.84,1.85,0.37,0,2.59,5.55,0,0.37,4.81,1.11,0.74,0.37,0,0,0
3Month,0.83,22.26,0.31,35.89,14.67,0,0.1,23.09,0.94,0.21,0,7.7,11.03,0,3.22,6.35,2.6,3.54,1.35,0.42,0,35.47,1.14,22.47,0.42,16.12,0.52,0,0.1,1.46,0.1,19.87,1.77,0.21,0,0.52,1.77,2.91,1.25
22Month,0,16.26,0.82,21.59,5.74,0,0,7.79,1.64,0.96,0,14.62,10.66,0.27,3.01,1.64,1.09,1.78,1.37,0.14,0.41,13.94,0.14,10.39,0.27,19.27,0.41,0.14,0,0.41,0,14.21,4.37,0,0,0.14,0.14,0,0.55
