stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,1.97,0,0,0,0.28,1.69,0,0.85,0,0,0.56,0,0,0,0,0,0,0,0
21Day,1.11,0.74,0,7.4,0,1.48,0,0,0,0,0,0,0.37,0,0.37,0,0,5.18,0.74,8.14,0,0,0,0,0.37,0.74,1.48,0,0,21.46,0.74,0,0,0.37,0.37,0,0,0
3Month,0.42,0.21,0.21,66.47,0.1,0,0.21,0.1,0.1,0.62,1.56,0,4.99,1.66,0,3.43,1.46,89.77,1.46,19.04,1.98,0,0.62,2.81,2.5,0.21,5.51,0.31,0,0.21,1.46,1.66,2.7,0.1,0.62,1.04,0.94,1.25
22Month,0.14,0.55,0.14,28.97,0.14,0,0,0,0,0.41,1.37,0.14,6.7,0.68,0,0.55,0.14,13.12,1.23,11.62,0,0.27,0.14,0.14,2.05,0,9.57,0.41,0.14,0,0,0.14,3.83,0,0.14,0.14,0,0.27
