stage,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0
3Month,0.1,0.31,3.12,0,0.52,0.73,1.56,0.42,0,6.24,0.1,0.42,0.42,0.1,0.1,0.1,0.31,0,0.31,0.1,3.74,0,0.21,2.29,2.18
22Month,0.82,0.68,2.19,0.14,0.82,1.78,3.96,0.55,0.41,7.52,0,0,1.64,0.27,0,0.41,0,0.27,0,0,1.91,0.14,0.14,0,0.82
