stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
72hpf,0,2.54,0.85,1.41,0,0,0,0,0,0,0,0.28,0,0.28,0.85,0.28,2.25,0,0,0,0,1.97,0.56,0,3.66,0,0,0.28,0,0,0,0
21Day,0.37,0.37,3.7,1.11,1.11,0,0.74,0,0,0,2.59,21.83,0,0,0.37,1.85,4.44,0,0,2.59,0,1.85,1.11,0,1.48,1.85,0,0,0.37,0,0,26.27
3Month,0,0.31,1.04,0.1,0,0.52,0,0.1,0.52,1.14,3.43,1.14,0.31,0.1,0.1,0.94,0.83,0.21,0,0.21,0.21,0.21,0,0.31,0.1,0.31,1.04,0,0,0.62,0.42,29.33
22Month,0,0,0.41,0,0,0,0.27,0,0.41,1.91,1.64,1.78,0.27,0.14,0.14,1.64,1.5,0.14,0.14,0,0,0,0,0,0,0,0.14,0.27,0,0,0,24.05
