stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,5,3,0,5,0,1,0,0,0,0,0,0,0,2,5,1,8,0,0,0,1,2,40,0,0,2,0,0,0,0,0,0,0,0
72hpf,2.54,0.85,0,4.23,1.41,6.76,0,0,0,0,0,0,0,1.13,9.02,0.28,9.86,0,0.56,0.28,0,56.37,29.31,0.28,1.41,10.99,0.56,0,3.38,0.28,0,0.56,0,0
21Day,4.44,0.74,0.74,14.8,0.37,8.14,1.11,0.74,0.37,3.33,0.74,4.07,2.96,0.74,7.4,3.7,16.65,0.37,0.37,4.81,0,19.61,9.25,0,0,4.81,4.07,0,0.37,1.85,2.22,0.37,0,2.96
3Month,0,0.1,0.31,0.83,0,0,0,0.62,0.1,0.52,0,0,3.02,0,0.31,0.1,0,0,0,0,0,0,0,0.31,0,0,0.1,0.62,0,0,0,0,0.1,0
22Month,0,0.14,0,0.55,0,0,0,0,0.14,2.32,0,0,1.09,0,0.14,0,0.14,0,0,0,0,0,0,0.27,0,0,0,0.14,0,0,0,0,0,0.14
