stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
72hpf,0.56,0.28,0,0.28,0,0,0,0.28,0.28,0,0,4.51,4.23,0,0,0,0,0
21Day,0.74,1.11,1.85,0,0,0.37,0.37,0,0.74,0.37,2.59,26.27,28.12,1.48,1.11,0.37,0.37,0.37
3Month,0,0.1,0,0,0,0,0.1,0,0,0,0.1,0.21,0.42,0,0,0,0,0
22Month,0,0,0,0,0.82,0,0,0,0,0,0,0.27,0.41,0,0.14,0,0,0
