stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,0.85,0,0.28,0,0,0,0,0,0,0,0,0.85,0.56,0,0.85,0,0,0,0,69.05,2.82,1.41,1.97,0.28,0,0,0.28,0.28,0,0,0
21Day,1.11,0.37,0.37,10.73,0,1.11,0,0,0,0,0,0,0.37,0,0.37,0.74,0.37,1.48,0,0,0.37,0,28.49,3.7,0.74,2.96,0.37,2.22,0.37,0.74,0,0,0,0.37
3Month,0.1,1.46,0.21,69.59,0,0,0.21,0.62,1.56,0,5.93,1.35,0,2.39,1.35,4.06,0.62,1.87,0.42,0,1.04,0.42,0.73,0.52,3.54,0.42,0,0.73,1.66,0.42,0,0.42,0.83,1.25
22Month,0.14,1.23,0.27,22.14,0.14,0,0.27,0.14,2.05,0.27,18.45,0.27,0.41,2.32,0.14,0.14,1.09,2.6,0.14,0.41,0,0,0.55,0.27,12.71,0.14,0,0.14,0.96,0.82,0,0,0,0.55
